Latitude,Longitude,Timestamp
15.671257,74.457477,2025-03-24 10:36:49.500
15.671255,74.457475,2025-03-24 10:36:49.600
15.671253,74.457475,2025-03-24 10:36:49.700
15.67125,74.457475,2025-03-24 10:36:49.800
15.67125,74.457472,2025-03-24 10:36:49.900
15.671248,74.45747,2025-03-24 10:36:50.000
15.671248,74.457467,2025-03-24 10:36:50.100
15.671247,74.457467,2025-03-24 10:36:50.200
15.671245,74.457463,2025-03-24 10:36:50.300
15.671242,74.45747,2025-03-24 10:36:50.400
15.67124,74.457468,2025-03-24 10:36:50.500
15.671238,74.457467,2025-03-24 10:36:50.600
15.671237,74.457467,2025-03-24 10:36:50.700
15.671237,74.457465,2025-03-24 10:36:50.800
15.671235,74.457463,2025-03-24 10:36:50.900
15.671233,74.457463,2025-03-24 10:36:51.000
15.671228,74.45747,2025-03-24 10:36:51.100
15.671228,74.457467,2025-03-24 10:36:51.200
15.671227,74.457467,2025-03-24 10:36:51.300
15.671223,74.457465,2025-03-24 10:36:51.400
15.671222,74.457463,2025-03-24 10:36:51.500
15.671222,74.457462,2025-03-24 10:36:51.600
15.67122,74.457455,2025-03-24 10:36:51.700
15.67122,74.457457,2025-03-24 10:36:51.800
15.671218,74.457453,2025-03-24 10:36:51.900
15.671217,74.457452,2025-03-24 10:36:52.000
15.671217,74.45745,2025-03-24 10:36:52.100
15.671215,74.457448,2025-03-24 10:36:52.200
15.671213,74.457447,2025-03-24 10:36:52.300
15.671212,74.457447,2025-03-24 10:36:52.400
15.671207,74.457445,2025-03-24 10:36:52.500
15.671208,74.457443,2025-03-24 10:36:52.600
15.671207,74.457442,2025-03-24 10:36:52.700
15.671205,74.45744,2025-03-24 10:36:52.800
15.671205,74.457437,2025-03-24 10:36:52.900
15.671203,74.457435,2025-03-24 10:36:53.000
15.671202,74.457433,2025-03-24 10:36:53.100
15.6712,74.45743,2025-03-24 10:36:53.200
15.6712,74.457427,2025-03-24 10:36:53.300
15.671198,74.457425,2025-03-24 10:36:53.400
15.671197,74.457422,2025-03-24 10:36:53.500
15.671193,74.45742,2025-03-24 10:36:53.600
15.671192,74.457417,2025-03-24 10:36:53.700
15.67119,74.457415,2025-03-24 10:36:53.800
15.67119,74.457412,2025-03-24 10:36:53.900
15.671188,74.45741,2025-03-24 10:36:54.000
15.671187,74.457408,2025-03-24 10:36:54.100
15.671187,74.457405,2025-03-24 10:36:54.200
15.671185,74.457403,2025-03-24 10:36:54.300
15.671183,74.457402,2025-03-24 10:36:54.400
15.671182,74.4574,2025-03-24 10:36:54.500
15.671182,74.457397,2025-03-24 10:36:54.600
15.67118,74.457395,2025-03-24 10:36:54.700
15.671178,74.457393,2025-03-24 10:36:54.800
15.671175,74.457392,2025-03-24 10:36:54.900
15.671175,74.457388,2025-03-24 10:36:55.000
15.671172,74.457388,2025-03-24 10:36:55.100
15.67117,74.457387,2025-03-24 10:36:55.200
15.671167,74.457387,2025-03-24 10:36:55.300
15.671165,74.457385,2025-03-24 10:36:55.400
15.671163,74.457383,2025-03-24 10:36:55.500
15.671162,74.457378,2025-03-24 10:36:55.600
15.671158,74.457382,2025-03-24 10:36:55.700
15.671157,74.45738,2025-03-24 10:36:55.800
15.671155,74.457377,2025-03-24 10:36:55.900
15.671153,74.457375,2025-03-24 10:36:56.000
15.671152,74.457373,2025-03-24 10:36:56.100
15.67115,74.45737,2025-03-24 10:36:56.200
15.671148,74.457368,2025-03-24 10:36:56.300
15.671147,74.457367,2025-03-24 10:36:56.400
15.671145,74.457363,2025-03-24 10:36:56.500
15.671143,74.457362,2025-03-24 10:36:56.600
15.671142,74.457358,2025-03-24 10:36:56.700
15.67114,74.457357,2025-03-24 10:36:56.800
15.671138,74.457353,2025-03-24 10:36:56.900
15.671137,74.457352,2025-03-24 10:36:57.000
15.671137,74.457348,2025-03-24 10:36:57.100
15.671135,74.457347,2025-03-24 10:36:57.200
15.671133,74.457345,2025-03-24 10:36:57.300
15.671132,74.457343,2025-03-24 10:36:57.400
15.67113,74.457342,2025-03-24 10:36:57.500
15.671132,74.457335,2025-03-24 10:36:57.600
15.67113,74.457333,2025-03-24 10:36:57.700
15.671128,74.457332,2025-03-24 10:36:57.800
15.671127,74.45733,2025-03-24 10:36:57.900
15.671125,74.457328,2025-03-24 10:36:58.000
15.671123,74.457327,2025-03-24 10:36:58.100
15.671122,74.457325,2025-03-24 10:36:58.200
15.67112,74.457323,2025-03-24 10:36:58.300
15.671118,74.45732,2025-03-24 10:36:58.400
15.671117,74.457318,2025-03-24 10:36:58.500
15.671115,74.457315,2025-03-24 10:36:58.600
15.671113,74.457313,2025-03-24 10:36:58.700
15.671113,74.457312,2025-03-24 10:36:58.800
15.671112,74.457308,2025-03-24 10:36:58.900
15.67111,74.457307,2025-03-24 10:36:59.000
15.671108,74.457305,2025-03-24 10:36:59.100
15.671107,74.457303,2025-03-24 10:36:59.200
15.671105,74.457302,2025-03-24 10:36:59.300
15.671103,74.4573,2025-03-24 10:36:59.400
15.671102,74.457298,2025-03-24 10:36:59.500
15.671102,74.457295,2025-03-24 10:36:59.600
15.671098,74.457293,2025-03-24 10:36:59.700
15.671097,74.457292,2025-03-24 10:36:59.800
15.671095,74.45729,2025-03-24 10:36:59.900
15.671093,74.457288,2025-03-24 10:37:00.000
15.671092,74.457287,2025-03-24 10:37:00.100
15.67109,74.457285,2025-03-24 10:37:00.200
15.671088,74.457282,2025-03-24 10:37:00.300
15.671087,74.45728,2025-03-24 10:37:00.400
15.671085,74.45728,2025-03-24 10:37:00.500
15.671082,74.45728,2025-03-24 10:37:00.600
15.67108,74.457278,2025-03-24 10:37:00.700
15.671078,74.457275,2025-03-24 10:37:00.800
15.671077,74.457273,2025-03-24 10:37:00.900
15.671075,74.457275,2025-03-24 10:37:01.000
15.671073,74.457273,2025-03-24 10:37:01.100
15.671072,74.457272,2025-03-24 10:37:01.200
15.67107,74.45727,2025-03-24 10:37:01.300
15.671068,74.457268,2025-03-24 10:37:01.400
15.671067,74.457267,2025-03-24 10:37:01.500
15.671067,74.457267,2025-03-24 10:37:01.600
15.671063,74.457265,2025-03-24 10:37:01.700
15.671063,74.457263,2025-03-24 10:37:01.800
15.671062,74.457262,2025-03-24 10:37:01.900
15.671058,74.45726,2025-03-24 10:37:02.000
15.671057,74.457258,2025-03-24 10:37:02.100
15.671055,74.457257,2025-03-24 10:37:02.200
15.671053,74.457255,2025-03-24 10:37:02.300
15.671052,74.457253,2025-03-24 10:37:02.400
15.67105,74.457252,2025-03-24 10:37:02.500
15.671048,74.457248,2025-03-24 10:37:02.600
15.671047,74.457247,2025-03-24 10:37:02.700
15.671045,74.457245,2025-03-24 10:37:02.800
15.671043,74.457245,2025-03-24 10:37:02.900
15.671042,74.457243,2025-03-24 10:37:03.000
15.67104,74.457242,2025-03-24 10:37:03.100
15.671038,74.45724,2025-03-24 10:37:03.200
15.671037,74.457238,2025-03-24 10:37:03.300
15.671037,74.457235,2025-03-24 10:37:03.400
15.671035,74.457233,2025-03-24 10:37:03.500
15.671033,74.457232,2025-03-24 10:37:03.600
15.671032,74.45723,2025-03-24 10:37:03.700
15.671032,74.457228,2025-03-24 10:37:03.800
15.67103,74.457227,2025-03-24 10:37:03.900
15.671028,74.457225,2025-03-24 10:37:04.000
15.671027,74.457223,2025-03-24 10:37:04.100
15.671025,74.457222,2025-03-24 10:37:04.200
15.671023,74.45722,2025-03-24 10:37:04.300
15.671022,74.457218,2025-03-24 10:37:04.400
15.67102,74.457217,2025-03-24 10:37:04.500
15.671017,74.457215,2025-03-24 10:37:04.600
15.671015,74.457213,2025-03-24 10:37:04.700
15.671013,74.457212,2025-03-24 10:37:04.800
15.671012,74.45721,2025-03-24 10:37:04.900
15.67101,74.457208,2025-03-24 10:37:05.000
15.671007,74.457207,2025-03-24 10:37:05.100
15.671007,74.457203,2025-03-24 10:37:05.200
15.671005,74.457202,2025-03-24 10:37:05.300
15.671003,74.4572,2025-03-24 10:37:05.400
15.671002,74.457198,2025-03-24 10:37:05.500
15.671,74.457197,2025-03-24 10:37:05.600
15.670997,74.457195,2025-03-24 10:37:05.700
15.670997,74.457193,2025-03-24 10:37:05.800
15.670995,74.457192,2025-03-24 10:37:05.900
15.670993,74.45719,2025-03-24 10:37:06.000
15.670992,74.457188,2025-03-24 10:37:06.100
15.67099,74.457187,2025-03-24 10:37:06.200
15.670988,74.457185,2025-03-24 10:37:06.300
15.670987,74.457183,2025-03-24 10:37:06.400
15.670985,74.457182,2025-03-24 10:37:06.500
15.670983,74.45718,2025-03-24 10:37:06.600
15.67098,74.457178,2025-03-24 10:37:06.700
15.670978,74.457177,2025-03-24 10:37:06.800
15.670977,74.457175,2025-03-24 10:37:06.900
15.670975,74.457173,2025-03-24 10:37:07.000
15.670973,74.457172,2025-03-24 10:37:07.100
15.670972,74.45717,2025-03-24 10:37:07.200
15.67097,74.457167,2025-03-24 10:37:07.300
15.670968,74.457165,2025-03-24 10:37:07.400
15.670965,74.457162,2025-03-24 10:37:07.500
15.670963,74.45716,2025-03-24 10:37:07.600
15.670962,74.457158,2025-03-24 10:37:07.700
15.67096,74.457155,2025-03-24 10:37:07.800
15.670958,74.457153,2025-03-24 10:37:07.900
15.670957,74.457152,2025-03-24 10:37:08.000
15.670955,74.457148,2025-03-24 10:37:08.100
15.670953,74.457147,2025-03-24 10:37:08.200
15.670952,74.457143,2025-03-24 10:37:08.300
15.67095,74.457142,2025-03-24 10:37:08.400
15.670948,74.45714,2025-03-24 10:37:08.500
15.670945,74.457137,2025-03-24 10:37:08.600
15.670943,74.457135,2025-03-24 10:37:08.700
15.670942,74.457133,2025-03-24 10:37:08.800
15.67094,74.457132,2025-03-24 10:37:08.900
15.670938,74.45713,2025-03-24 10:37:09.000
